time,open,high,low,close
1607299200000,571.19,601.97,571.19,601.97
1607644800000,592.39,592.39,554.33,560.45
1607990400000,545.98,590.32,545.98,585.54
1608336000000,589.07,654.42,589.07,654.42
1608681600000,659.32,659.32,610.43,634.98
1609027200000,587.96,636.74,587.96,636.74
1609372800000,689.66,752.86,689.66,752.86
1609632000000,738.62,777.7,730.15,777.7
1609977600000,967.0,1208.58,967.0,1208.58
1610323200000,1229.47,1282.98,1223.73,1267.73
1610668800000,1092.91,1216.91,1045.41,1216.91
1611014400000,1171.86,1255.98,1171.86,1255.98
1611360000000,1383.48,1385.85,1122.91,1236.68
1611705600000,1231.18,1392.54,1231.18,1355.23
1612051200000,1253.14,1380.28,1253.14,1372.43
1612310400000,1317.05,1514.23,1317.05,1514.23
1612656000000,1661.0,1724.86,1587.8,1683.94
1613001600000,1608.64,1769.05,1608.64,1739.16
1613347200000,1782.51,1841.2,1782.51,1804.98
1613692800000,1775.76,1938.57,1775.76,1938.57
1614038400000,1969.98,1969.98,1788.62,1788.62
1614384000000,1563.92,1628.39,1450.99,1450.99
1614470400000,1480.13,1570.4,1416.66,1497.09
1615075200000,1579.43,1661.93,1539.05,1661.93
1615420800000,1727.46,1869.33,1727.46,1802.31
1615766400000,1826.06,1927.72,1770.94,1866.07
1616112000000,1791.05,1828.75,1780.16,1780.16
1616457600000,1817.13,1817.86,1686.89,1686.89
1616803200000,1673.86,1700.37,1581.63,1700.37
1617148800000,1713.84,1840.29,1689.04,1840.29
1617408000000,1915.83,2134.1,1915.83,2134.1
1617753600000,2016.67,2115.06,2016.67,2115.06
1618099200000,1989.15,2142.8,1989.15,2142.8
1618444800000,2150.27,2429.66,2142.48,2429.66
1618790400000,2514.17,2514.17,2245.76,2245.76
1619136000000,2168.03,2426.07,2168.03,2426.07
1619481600000,2364.23,2532.39,2212.84,2532.39
1619740800000,2647.16,2757.5,2647.16,2757.5
1620000000000,2776.7,2953.3,2776.7,2953.3
1620345600000,3439.86,3524.56,3245.66,3495.08
1620691200000,3493.53,3979.61,3493.53,3979.61
1621036800000,4182.79,4182.79,3750.34,4088.73
1621382400000,3659.92,3659.92,3288.23,3399.05
1621728000000,2505.01,2778.28,2306.37,2306.37
1622073600000,2120.04,2882.48,2120.04,2882.48
1622419200000,2742.99,2742.99,2294.63,2395.85
1622678400000,2708.43,2717.15,2632.66,2717.15
1623024000000,2858.28,2858.28,2624.77,2711.55
1623369600000,2580.54,2620.63,2486.6,2486.6
1623715200000,2356.63,2587.38,2356.63,2587.38
1624060800000,2561.19,2561.19,2231.55,2231.55
1624406400000,2176.31,2251.56,1875.36,1875.36
1624752000000,1971.11,1990.08,1817.05,1817.05
1625011200000,1973.93,2169.4,1973.93,2169.4
1625270400000,2279.35,2279.35,2121.66,2157.88
1625616000000,2228.53,2329.0,2217.3,2320.65
1625961600000,2317.24,2317.24,2123.06,2123.06
1626307200000,2144.01,2144.01,1944.4,1997.66
1626652800000,1910.73,1910.73,1874.2,1905.72
1626998400000,1824.93,2027.53,1794.97,2027.53
1627344000000,2117.15,2230.21,2117.15,2230.21
1627689600000,2292.58,2462.4,2292.58,2462.4
1627948800000,2541.67,2611.67,2541.67,2611.67
1628294400000,2521.27,2888.73,2521.27,2888.73
1628640000000,3151.22,3163.06,3012.31,3147.84
1628985600000,3166.65,3323.2,3048.41,3268.55
1629331200000,3309.75,3309.75,3007.14,3037.23
1629676800000,3144.82,3276.97,3144.82,3243.49
1630022400000,3320.41,3320.41,3122.97,3122.97
1630368000000,3267.54,3267.54,3232.73,3232.73
1630627200000,3440.56,3793.3,3440.56,3793.3
1630972800000,3936.16,3950.27,3894.94,3943.26
1631318400000,3440.34,3496.86,3209.92,3209.92
1631664000000,3268.1,3425.25,3268.1,3425.25
1632009600000,3595.96,3595.96,3412.18,3427.58
1632355200000,3335.88,3335.88,2744.11,3074.12
1632700800000,3159.27,3159.27,2930.74,3063.32
1632960000000,2939.74,2939.74,2798.98,2855.61
1633219200000,3013.49,3393.92,3013.49,3393.92
1633564800000,3426.39,3592.18,3390.31,3592.18
1633910400000,3594.92,3594.92,3431.02,3431.02
1634256000000,3537.84,3794.52,3498.11,3794.52
1634601600000,3885.64,3885.64,3752.62,3752.62
1634947200000,3884.59,4170.11,3884.59,3990.71
1635292800000,4179.44,4230.21,4094.94,4152.57
1635638400000,3944.09,4422.94,3944.09,4324.61
1635897600000,4292.04,4596.59,4292.04,4596.59
1636243200000,4607.7,4607.7,4494.8,4527.1
1636588800000,4626.63,4815.0,4626.63,4641.53
1636934400000,4732.92,4732.92,4652.95,4652.95
1637280000000,4583.21,4583.21,3993.85,3993.85
1637625600000,4317.6,4436.19,4101.06,4101.06
1637971200000,4355.42,4515.84,4048.31,4048.31
1638230400000,4084.09,4444.53,4084.09,4444.53
1638489600000,4637.12,4637.12,4519.44,4519.44
1638835200000,4240.16,4240.16,4240.16,4240.16
